t: 580, iter: 1
t: 582, iter: 1
t: 584, iter: 1
t: 586, iter: 1
t: 588, iter: 1
t: 590, iter: 1
t: 592, iter: 1
t: 594, iter: 1
t: 596, iter: 1
t: 598, iter: 1
